danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,Lean Wit Me,Juice WRLD
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,Leave Me Alone,Flipp Dinero
0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,Yes Indeed,Lil Baby
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,Fuck Love (feat. Trippie Redd),XXXTENTACION
0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,Fine China,Future
0.855,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.49,122.078,Mona Lisa (feat. Kendrick Lamar),Lil Wayne
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,In My Feelings,Drake
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,changes,XXXTENTACION
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,I Like It,Cardi B
0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,rockstar (feat. 21 Savage),Post Malone
0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,Psycho (feat. Ty Dolla $ign),Post Malone
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Noticed,Lil Mosey
0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,I Fall Apart,Post Malone
0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,Taste (feat. Offset),Tyga
0.743,0.87,1,-2.188,1,0.212,0.0595,0,0.299,0.884,99.075,Uproar,Lil Wayne
0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,New Patek,Lil Uzi Vert
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,STARGAZING,Travis Scott
0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG
0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,REEL IT IN,Aminé
0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,Everybody Dies In Their Nightmares,XXXTENTACION
0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,YOSEMITE,Travis Scott
0.733,0.63,11,-4.296,1,0.395,0.13,0,0.162,0.832,149.989,STOOPID,6ix9ine
0.896,0.671,1,-6.977,0,0.289,0.103,0,0.552,0.358,112.502,Drip Too Hard (Lil Baby & Gunna),Lil Baby
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,God's Plan,Drake
0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,No Stylist,French Montana
0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,Topanga,Trippie Redd
0.79,0.629,8,-4.055,1,0.142,0.182,7.06e-06,0.338,0.267,170.023,WORKIN ME,Quavo
0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,Hope,XXXTENTACION
0.594,0.798,4,-5.244,1,0.0844,0.115,0,0.143,0.381,142.049,Legends,Juice WRLD
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,the remedy for a broken heart (why am I so in love),XXXTENTACION
0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,1400 / 999 Freestyle,Trippie Redd
0.585,0.709,8,-6.072,1,0.319,0.409,0,0.183,0.21,111.913,Don't Cry (feat. XXXTENTACION),Lil Wayne
0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,Mo Bamba,Sheck Wes
0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,Nonstop,Drake
0.772,0.493,5,-3.41,0,0.0729,0.0617,0.0328,0.154,0.385,143.97,BAD!,XXXTENTACION
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,SAD!,XXXTENTACION
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,Moonlight,XXXTENTACION
0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,Drip Too Hard,Lil Baby
0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION
0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,Wake Up in the Sky,Gucci Mane
0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,Better Now,Post Malone
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,I Love It (& Lil Pump),Kanye West
0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,Armed And Dangerous,Juice WRLD
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,Money,Cardi B
0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,Jocelyn Flores,XXXTENTACION
0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,All Girls Are The Same,Juice WRLD
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,Lean Wit Me,Juice WRLD
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,Leave Me Alone,Flipp Dinero
0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,Yes Indeed,Lil Baby
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,Fuck Love (feat. Trippie Redd),XXXTENTACION
0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,Fine China,Future
0.855,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.49,122.078,Mona Lisa (feat. Kendrick Lamar),Lil Wayne
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,In My Feelings,Drake
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,changes,XXXTENTACION
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,I Like It,Cardi B
0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,rockstar (feat. 21 Savage),Post Malone
0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,Psycho (feat. Ty Dolla $ign),Post Malone
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Noticed,Lil Mosey
0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,I Fall Apart,Post Malone
0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,Taste (feat. Offset),Tyga
0.743,0.87,1,-2.188,1,0.212,0.0595,0,0.299,0.884,99.075,Uproar,Lil Wayne
0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,New Patek,Lil Uzi Vert
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,STARGAZING,Travis Scott
0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG
0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,REEL IT IN,Aminé
0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,Everybody Dies In Their Nightmares,XXXTENTACION
0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,YOSEMITE,Travis Scott
0.733,0.63,11,-4.296,1,0.395,0.13,0,0.162,0.832,149.989,STOOPID,6ix9ine
0.896,0.671,1,-6.977,0,0.289,0.103,0,0.552,0.358,112.502,Drip Too Hard (Lil Baby & Gunna),Lil Baby
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,God's Plan,Drake
0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,No Stylist,French Montana
0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955,Topanga,Trippie Redd
0.79,0.629,8,-4.055,1,0.142,0.182,7.06e-06,0.338,0.267,170.023,WORKIN ME,Quavo
0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,Hope,XXXTENTACION
0.594,0.798,4,-5.244,1,0.0844,0.115,0,0.143,0.381,142.049,Legends,Juice WRLD
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,the remedy for a broken heart (why am I so in love),XXXTENTACION
0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,1400 / 999 Freestyle,Trippie Redd
0.585,0.709,8,-6.072,1,0.319,0.409,0,0.183,0.21,111.913,Don't Cry (feat. XXXTENTACION),Lil Wayne
0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,Self Care,Mac Miller
0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,Mo Bamba,Sheck Wes
0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,Nonstop,Drake
0.772,0.493,5,-3.41,0,0.0729,0.0617,0.0328,0.154,0.385,143.97,BAD!,XXXTENTACION
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,SAD!,XXXTENTACION
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,Moonlight,XXXTENTACION
0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,Drip Too Hard,Lil Baby
0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION
0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,Wake Up in the Sky,Gucci Mane
0.68,0.563,10,-5.843,1,0.0454,0.354,0,0.136,0.374,145.028,Better Now,Post Malone
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,I Love It (& Lil Pump),Kanye West
0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,Armed And Dangerous,Juice WRLD
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,Money,Cardi B
0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,Jocelyn Flores,XXXTENTACION
0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,All Girls Are The Same,Juice WRLD
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby
0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,Lean Wit Me,Juice WRLD
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,Leave Me Alone,Flipp Dinero
0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,Yes Indeed,Lil Baby
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,Fuck Love (feat. Trippie Redd),XXXTENTACION
0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,Fine China,Future
0.855,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.49,122.078,Mona Lisa (feat. Kendrick Lamar),Lil Wayne
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,In My Feelings,Drake
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,changes,XXXTENTACION
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,I Like It,Cardi B
0.587,0.535,5,-6.09,0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,rockstar (feat. 21 Savage),Post Malone
0.739,0.559,8,-8.011,1,0.117,0.58,0,0.112,0.439,140.124,Psycho (feat. Ty Dolla $ign),Post Malone
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,Noticed,Lil Mosey
0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,I Fall Apart,Post Malone
0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,Taste (feat. Offset),Tyga
0.743,0.87,1,-2.188,1,0.212,0.0595,0,0.299,0.884,99.075,Uproar,Lil Wayne
0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,New Patek,Lil Uzi Vert
